OT;NV/GOM;DIRECCION;CONTRATISTA;COMUNA;ZONAL;ITO;FECHA_INSPECCION;TIPO_TRABAJO;SUPERVISOR;HAY HALLAZGO;INCIDENCIA;NOMBRE DE INCIDENCIA;TIPO;HALLAZGO;OBSERVACION;TOTAL_HALLAZGO;MES;AÑO;TIPO_OBRA
166106;ID;ALVARO CASANOVA 661 ;BUREAU VERITAS (ESPECTRO);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-06-08;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;REPOSICION DE ACCESO VEHICULAR MALA TERMINACION, PEINADO;;0;JUNIO;2021;OO.CC
166106;ID;ALVARO CASANOVA 661 N° 2;BUREAU VERITAS (ESPECTRO);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-06-10;SUBTERRÁNEA;JULIO ANTINAO;NO;;;;REPOSICION DE ACERA DETALLES MALA TERMINACION, PEINADO, MAQUILLAJES;;0;JUNIO;2021;OO.CC
166106;ID;ALVARO CASANOVA 661 N° 2;BUREAU VERITAS (ESPECTRO);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-06-10;SUBTERRÁNEA;JULIO ANTINAO;NO;;;;REPOSICION DE ACCESO VEHICULAR MALA TERMINACION, PEINADO, MAQUILLAJES;;0;JUNIO;2021;OO.CC
2867564;NV;HOLANDA 3622;ENERPA;ÑUÑOA;FLORIDA;JOAN DIAZ ;2021-06-10;SUBTERRÁNEA;XIMENA VASQUEZ;NO;;;;;;0;JUNIO;2021;OO.CC
78417;ID;GENERAL BUSTAMANTE 730;BUREAU VERITAS (SIISTEC);ÑUÑOA;FLORIDA;JAIME SOTO;2021-06-11;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;CÁMARA DM-2200 DETALLES EN PISO, LOZA,CUELLO, BOQUILLAS);;0;JUNIO;2021;OO.CC
78417;ID;GENERAL BUSTAMANTE 730;BUREAU VERITAS (SIISTEC);ÑUÑOA;FLORIDA;JAIME SOTO;2021-06-11;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;CÁMARA DM-2201 PENDIENTE INSTALACION DE TAPAS DE CAMARA;;0;JUNIO;2021;OO.CC
78417;ID;GENERAL BUSTAMANTE 730;BUREAU VERITAS (SIISTEC);ÑUÑOA;FLORIDA;JAIME SOTO;2021-06-11;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;PENDIENTE INSTALACION DE LOGOS DE CAMARAS.;;0;JUNIO;2021;OO.CC
177219;ID;SANTA VICTORIA 9448 N°1;BUREAU VERITAS (SCN);LA FLORIDA;FLORIDA;JAIME SOTO;2021-06-23;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;CANALIZACION FUERA DE NORMA;;0;JUNIO;2021;OO.CC
2853015;NV;LOS PRESIDENTES 9998;BUREAU VERITAS (SCN);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-06-29;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;PENDIENTE INSTALACION DE LOGOS;;0;JUNIO;2021;OO.CC
2853015;NV;LOS PRESIDENTES 9998;BUREAU VERITAS (SCN);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-06-29;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;PENDIENTE RETIRO DE ROCAS;;0;JUNIO;2021;OO.CC
2884962;NV;AV GENERAL JOSE ARTIGAS N° 3121;ENERPA;ÑUÑOA;FLORIDA;JAIME SOTO;2021-06-30;SUBTERRÁNEA;XIMENA VASQUEZ;NO;;;;NORMALIZAR INSTALACION DE TIERRA;;0;JUNIO;2021;OO.CC
2884962;NV;AV GENERAL JOSE ARTIGAS N° 3121;ENERPA;ÑUÑOA;FLORIDA;JAIME SOTO;2021-06-30;SUBTERRÁNEA;XIMENA VASQUEZ;NO;;;;CORREGIR TERMINACION EN CUELLO DE CAMARA;;0;JUNIO;2021;OO.CC
177132;ID;DEPARTAMENTAL 1475 N° 2;ENERPA;LA FLORIDA;FLORIDA;JAIME SOTO;2021-07-07;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;PENDIENTE INSTALACION DE LOGO;;0;JULIO;2021;OO.CC
177132;ID;DEPARTAMENTAL 1475 N° 2;ENERPA;LA FLORIDA;FLORIDA;JAIME SOTO;2021-07-07;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;PENDIENTE INSTALACION DE TAPAS DE CAMARAS DM-2201;;0;JULIO;2021;OO.CC
